Cancel,Annullera
Title,Titel
"3D Secure Card Validation","3D Secure kortvalidering"
"New Order Status","Ändrat status för beställning"
"No confirmation","Inga Konfirmation"
Authorize.net,Authorize.net
"Credit Card Types","Bankkortstyper"
"Credit Card Verification","Bankkots Verifikation"
"Email Customer","E-Post Kund"
"API Login ID","API Login ID"
"Merchant's Email","Handlare's E-Post"
"Test Mode","Test Mode"
Debug,Felsökning
"Transaction Key","Transaktion Key"
"Payment Action","Betalning Åtgärd"
"Accepted Currency","Accepterad Valuta"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från vissa länder"
"Minimum Order Total","Minimum Total"
"Maximum Order Total","Maximum Total"
"Allow Partial Authorization","Tillåt Del-Auktorisation"
"3D Secure","3D Secure"
"Severe 3D Secure Card Validation","Severe 3D Secure kortvalidering"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validering bort Chargeback Liability på Merchant"
"If you leave this empty, we'll use a default value. The custom URL may be provided by CardinalCommerce agreement.","Om du lämnar tom, använder vi ett standardvärde . Den anpassade webbadressen kan tillhandahållas av CardinalCommerce avtal."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Merchant MD5","Merchant MD5"
"Gateway URL","Gateway URL"
