Remove,Remove [1]
We couldn't update the payment.,Vi kunde inte uppdatera betalnings.
Shopping Cart Price Rule,Kundvagn Pris Regel
CSV,CSV
Excel XML,Excel XML
Total Refunded,Totala Återbetalas
Paid,Betalt
Coupons,Kuponger
Recently Viewed,Nyligen Besökta
Recently Compared Products,Recently Compared Products
Recently Viewed Products,Recently Viewed Products
Print,Skriv
Submit Comment,Lämna Kommentar
Returned,Returnerade
Order Date,Orderdatum
Order # ,Order # 
Order Date: ,Orderdatum: 
Comment Text,Kommentar Text
Visible on Frontend,Synlig på Frontend
Not Notified,Inte Meddelat
Please select products.,Var välig välj produkter.
Number,Nummer
Order Date: %1,Orderdatum: %1
Shipping &amp; Handling,Frakt &amp; Hantering
Credit Memos,Kredit Meddelande
Invoices,Fakturorna
We cannot get the order instance.,Vi kan inte få beställning instans.
Create New Order,Skapa Ny Order
Save Order Address,Spara Beställnings Adress
Edit Order %1 %2 Address,Regidera Beställning %1 %2 Adress
Order Address Information,Beställnings Adress Information
Please correct the parent block for this block.,Please correct the parent block for this block.
Submit Order,Skicka Order
Are you sure you want to cancel this order?,Är du säker på att du vill avbryta denna order?
Order Comment,Kommentar
Please select a customer.,Välj en kund.
Create New Customer,Skapa Ny Kund
Edit Order #%1,Regidera Order #%1
Create New Order for %1 in %2,Skapa Ny Order för %1 in %2
Create New Order for New Customer in %1,Skapa Ny Order för Ny Kund att %1
Create New Order for %1,Skapa Ny Order för %1
Create New Order for New Customer,Skapa Ny Order för Ny Kund
Items Ordered,Artiklar Beställd
This product is disabled.,Denna produkt är inaktiverad.
Buy %1 for price %2,Köp %1 för pris %2
Item ordered qty,Artikel beställt antal
%1 with %2 discount each,%1 med %2 rea varje
%1 for %2,%1 för %2
* - Enter custom price including tax,* - Ange anpassad pris inklusive moms
* - Enter custom price excluding tax,* - Ange anpassad pris exklusive moms
This product does not have any configurable options,Denna produkt har inga konfigurerbara alternativ
Add Selected Product(s) to Order,Lägg utvalda produkt(er) för att beställa
Update Changes,Uppdatera Ändringar
Are you sure you want to delete all items from shopping cart?,Är du säker på att du vill ta bort alla objekt från kundvagnen?
Products in Comparison List,Produkter i Jämförelse Lista
Last Ordered Items,Senast Beställda Artiklar
Please select a store.,Välj En Butik.
Order Totals,Beställningsbelopp
Shipping Incl. Tax (%1),Frakt Inkl. Moms (%1)
Shipping Excl. Tax (%1),Frakt Exkl. Moms (%1)
New Credit Memo for Invoice #%1,Ny Kredit Meddelande för Faktura #%1
New Credit Memo for Order #%1,Ny kredit Meddelande för Beställning #%1
Refund Shipping (Incl. Tax),Återbetalning Frakt (Inkl. Moms)
Refund Shipping (Excl. Tax),Återbetalning Frakt (Exkl. Moms)
Refund Shipping,Återbetalning Frakt
Update Qty's,Uppdatera Antal
Refund,Återbetalning
Refund Offline,Återbetalning Offline
Paid Amount,Betald Summa
Refund Amount,Återbetalning Summa
Shipping Refund,Frakt Återbetalning
Order Grand Total,Att Betala
Adjustment Refund,Justering Återbetalning
Adjustment Fee,Justering Belopp
Send Email,Skicka Email
Are you sure you want to send a Credit memo email to customer?,Är du säker på att du vill skicka en kreditnota e-post till kund?
The credit memo email was sent,Kreditnotans e-postmeddelande skickades
the credit memo email is not sent,kreditnotans e-post skickas inte
Credit Memo #%1 | %3 | %2 (%4),Kreditnota #%1 | %3 | %2 (%4)
Total Refund,Totalt Återbetalning
New Invoice and Shipment for Order #%1,Ny Faktura och Frakt för Beställning #%1
New Invoice for Order #%1,Ny Faktura för Bestallning #%1
Submit Invoice and Shipment,Skicka Faktura och Frakt
Submit Invoice,Skicka Frakt
Are you sure you want to send an Invoice email to customer?,Är du säker på att du vill skicka en faktura e-post till kund?
Credit Memo,Kreditnota
Capture,Capture
the invoice email was sent,e-postfakturan skickades
the invoice email is not sent,e-postfakturan inte skickas
Invoice #%1 | %2 | %4 (%3),Faktura #%1 | %2 | %4 (%3)
Order Statuses,Orderstatus
Create New Status,Skapa Ny Status
Assign Status to State,Tilldela Status till State
Save Status Assignment,Save Status Assignment
Assign Order Status to State,Assign Order Status to State
Assignment Information,Assignment Information
Order State,Order State
Use Order Status As Default,Use Order Status As Default
Visible On Frontend,Visible On Frontend
Edit Order Status,Edit Order Status
Save Status,Save Status
New Order Status,New Order Status
Order Status Information,Order Status Information
Status Code,Status Code
Status Label,Status Label
Store View Specific Labels,Store View Specific Labels
Total Paid,Total Paid
Total Due,Total Due
Are you sure you want to send an order email to customer?,Är du säker på att du vill skicka en order e-post till kund?
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Detta kommer att skapa en offline återbetalning. '' För att skapa en online återbetalning, öppna en faktura och skapa kreditnota för det. Vill du fortsätta?"
Are you sure you want to void the payment?,Är du säker på att du vill annullera betalningen?
Hold,Håll
hold,håll
Unhold,Återta
unhold,återta
Are you sure you want to accept this payment?,Är du säker på att du vill acceptera denna betalning?
Accept Payment,Acceptera Betalning
Are you sure you want to deny this payment?,Är du säker på att du vill neka denna betalning?
Deny Payment,Neka Betallning
Get Payment Update,Få Betalning Update
Invoice and Ship,Faktura och Frakt
Invoice,Faktura
Ship,Frakt
Reorder,Order Igen
Order # %1 %2 | %3,Order # %1 %2 | %3
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","Denna order innehåller (%1) artiklar pga detkan inte redigeras genom admin interface. ' 'Om du vill fortsätta att redigera, kommer (%2) föremål tas bort, '' ordern kommer att annulleras och en ny beställning den är placerad. "
Are you sure? This order will be canceled and a new one will be created instead.,Är du säker? Denna order kommer att avbrytas och en ny skapas i stället.
Save Gift Message,Spara Present Meddelande
Order Credit Memos,Order Kreditnota
Credit memo #%1 created,Kreditnota #%1 skapade
Credit memo #%1 comment added,Kreditnota #%1 kommentar sätts
Shipment #%1 created,Frakt #%1 skapade
Shipment #%1 comment added,Frakt #%1 kommentar lagt till
Invoice #%1 created,Faktura #%1 skapade
Invoice #%1 comment added,Faktura #%1 kommentar lagt till
Tracking number %1 for %2 assigned,Tracking nummer %1 för %2 tilldelad
Comments History,Kommentarer Historia
Order History,Order Historia
Order Information,Order Information
Order Invoices,Order fakturor
Shipments,Frakterna
Order Shipments,Order Frakts
Transactions,Transaktioner
Order View,Order View
Applies to Any of the Specified Order Statuses,Gäller någon av de angivna orderstatus
Show Actual Values,Visa Ärvärden
Fetch,Fetch
Transaction # %1 | %2,Transaktion # %1 | %2
Key,Key
Value,Value
We found an invalid entity model.,Vi hittade en ogiltig enhet modell.
Order # %1,Beställning # %1
Back to My Orders,Tillbaka till Mina Beställningar
View Another Order,Visa Annan Beställning
About Your Refund,Om din återbetalning
My Orders,Mina beställningar
About Your Invoice,Om din faktura
Print Order # %1,Skriv ut Beställning # %1
Grand Total to be Charged,Grand Total to be Charged
Unassign,Unassign
We sent the message.,Vi skickade meddelandet.
This order no longer exists.,Denna order inte längre existerar.
Exception occurred during order load,Undantag inträffade under orderingången
You sent the order email.,Du skickade ordern e-post.
We couldn't send the email order.,Vi kunde inte skicka e-post beställning.
You canceled the order.,Du har annullerat beställningen.
You have not canceled the item.,Du har inte avbryta objektet.
You put the order on hold.,Du vänteläger beställningen.
You have not put the order on hold.,Du har inte lagt beställning på håll.
You released the order from holding status.,Du har fått ordern från att vänteläge.
The order was not on hold.,Ordern var inte på vänteläge.
The payment has been accepted.,Betalningen är genomförd.
The payment has been denied.,Betalningen är EJ genomförd.
The payment update has been made.,Uppdateringen betalning har gjorts.
Comment text cannot be empty.,Kommentar kan inte vara tom.
We cannot add order history.,Vi kan inte lägga till orderhistorik.
%1 order(s) cannot be canceled.,%1 beställning(arna) kan inte avbrytas.
You cannot cancel the order(s).,Du kan inte annullera beställning(arna).
We canceled %1 order(s).,Vi avbröt %1 beställning(arna).
%1 order(s) were not put on hold.,%1 beställning(arna) inte parkeras.
No order(s) were put on hold.,Ingen beställning(arna) lades på vänteläge.
You have put %1 order(s) on hold.,Du har lagt %1 beställning(arna) på vänteläge.
%1 order(s) were not released from on hold status.,%1 Beställning(arna) släpptes inte från vänteläge.
No order(s) were released from on hold status.,Inga beställning(arna) släpptes från vänteläge.
%1 order(s) have been released from on hold status.,%1 beställnig(arna) har släppts från vänteläge.
There are no printable documents related to selected orders.,Det finns inga utskrivbara dokument relaterade till utvalda beställning.
The payment has been voided.,Betalningen har ogiltig.
We couldn't void the payment.,Vi kunde inte upphäva betalningen.
You updated the order address.,Du uppdaterade beställningsadress.
Something went wrong updating the order address.,Något gick fel uppdatera beställningsadress.
"""%1"" coupon code is not valid.","""%1"" kupongkoden är inte giltig."
The coupon code has been accepted.,Kupongkoden har accepterats.
New Order,Ny Beställning
The order no longer exists.,Beställningen inte längre existerar.
Cannot create credit memo for the order.,Det går inte att skapa kreditnota för beställningen.
View Memo for #%1,Visa Nota för #%1
View Memo,Visa Nota
New Memo for #%1,Ny Nota för #%1
New Memo,Ny Nota
Cannot update the item's quantity.,Det går inte att uppdatera objektets kvantitet.
Credit memo's total must be positive.,Kreditnotor totalt måste vara positiv.
Cannot create online refund for Refund to Store Credit.,Det går inte att skapa online-bidrag för återbetalning till Butik Kredit.
You created the credit memo.,Du har skapat en kreditnota.
Cannot save the credit memo.,Det går inte att spara kreditnotan.
The credit memo has been canceled.,Kreditnotans har avbrutits.
You canceled the credit memo.,Du har annullerat kreditnota.
You voided the credit memo.,Du ogiltigförklaras kreditnota.
We can't void the credit memo.,Vi kan inte undvika en kreditnota.
The Comment Text field cannot be empty.,Komment textfält kan inte vara tomt.
Cannot add new comment.,Det går inte att lägga till en ny kommentar.
Edit Order,Regidera Beställning
The invoice no longer exists.,Fakturan inte längre existerar.
The order does not allow an invoice to be created.,Beställningen tillåter inte en faktura skapas.
Cannot create an invoice without products.,Det går inte att skapa en faktura utan produkter.
New Invoice,Ny Faktura
Cannot update item quantity.,Det går inte att uppdatera objektet kvantitet.
The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.,Fakturan och frakten har skapats. '' Den fraktsedel kan inte skapas nu.
You created the invoice and shipment.,Du skapade fakturan och frakt.
The invoice has been created.,Fakturan har skapats.
We can't send the invoice email.,Vi kan inte skicka e-postfakturan.
We can't send the shipment.,Vi kan inte skicka frakt.
We can't save the invoice.,Vi kan inte spara fakturan.
The invoice has been captured.,Fakturan har fångats.
Invoice capturing error,Faktura infångnings error
You canceled the invoice.,Du har avbrutit fakturan.
Invoice canceling error,Faktura avbryta error
The invoice has been voided.,Fakturan har ogiltigförklaras .
Invoice voiding error,Faktura tömnings error
Create New Order Status,Skapa ny beställningstatus
We can't find this order status.,Vi kan inte hitta denna orderstatus.
We found another order status with the same order status code.,Vi hittade en annan beställningsstatus med statuskoden samma ordning.
You have saved the order status.,Du har sparat beställningsstatus.
We couldn't add your order status because something went wrong saving.,Vi kunde inte lägga till din beställningsstatus eftersom något gick fel sparande.
You have assigned the order status.,Du har tilldelat beställningsstatus.
An error occurred while assigning order status. Status has not been assigned.,Ett fel uppstod när tilldela bestöllningsstatus . Status har inte tilldelats.
You have unassigned the order status.,Du har tog bort tilldelningen av beställningsstatus.
Something went wrong while we were unassigning the order.,Något gick fel när vi icke-tilldelning beställning.
Something went wrong while saving the gift message.,Något gick fel när spara presentmeddelande.
The gift message has been saved.,Presentmeddelande har sparats.
Please correct the transaction ID and try again.,Korrigera transaktions-ID och försök igen.
The transaction details have been updated.,Transaktionsuppgifter har uppdaterats.
We can't update the transaction details.,Vi kan inte uppdatera transaktionsuppgifter.
Orders and Returns,Beställningar och Returer
This item price or quantity is not valid for checkout.,Denna artikel pris eller kvantitet är inte giltigt för beställa.
You entered incorrect data. Please try again.,Du angav felaktiga uppgifter. Var god försök igen.
We couldn't find this wish list.,Vi kunde inte hitta denna önskelistan.
"We could not add a product to cart by the ID ""%1"".","Vi kunde inte lägga en produkt i kundvagnen genom ID ""%1""."
There is an error in one of the option rows.,Det finns ett fel i ett av de alternativ rader.
Shipping Address: ,Leverans Adress: 
Billing Address: ,Faktura Adress: 
You need to specify order items.,Du måste ange beställnings objekt.
You need to specify a shipping method.,Du måste ange en leveransmetod.
A payment method must be specified.,En betalningsmetod måste anges.
This payment method instance is not available.,Denna betalningsmetod exempel är inte tillgänglig.
This payment method is not available.,Denna betalningsmetod är inte tillgänglig.
VAT Request Identifier,Moms Önska Identifierare
VAT Request Date,Moms Önska Datum
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
A hold action is not available.,Vänteläge åtgärden är inte tillgänglig.
You cannot remove the hold.,Du kan inte ta bort vänteläge.
We cannot cancel this order.,Vi kan inte avbryta denna beställning.
The most money available to refund is %1.,Mest pengar tillgängliga för att återbetala är %1.
We cannot register an existing credit memo.,Vi kan inte registrera ett befintligt kreditnota.
Unknown State,Okänd State
"We found an invalid quantity to refund item ""%1"".","Vi hittade en ogiltig mängd för att återbetala produkten ""%1""."
Maximum shipping amount allowed to refund is: %1,Maximal leverans tillåtna beloppet att återbetala är: %1
We cannot register an existing invoice,Vi kan inte registrera en befintlig faktura
"We found an invalid quantity to invoice item ""%1"".","Vi hittade en ogiltig mängd att fakturera post ""%1""."
Unknown Status,Okänd Status
Backordered,Restnoterade
Partial,Partiell
Mixed,Blandad
An amount of %1 will be captured after being approved at the payment gateway.,Ett belopp på %1 kommer att fångas efter att ha godkänts vid betalning gateway.
Captured amount of %1 online,Fångade mängden %1 online
An order with subscription items was registered.,En order med teckningsposter registrerades.
"The transaction ""%1"" cannot be captured yet.","Transaktionen ""%1"" kan inte fångas ännu."
Order is suspended as its capture amount %1 is suspected to be fraudulent.,Beställning suspenderas som sin fångst belopp %1 misstänks vara bedrägliga.
Registered notification about captured amount of %1.,Registrerade anmälan om fångade mängden %1.
Registered a Void notification.,Registrerad undvika anmälan.
"If the invoice was created offline, try creating an offline credit memo.","Om fakturan skapades offline, försöka skapa en offline kreditnota."
We refunded %1 online.,Vi återbetalas %1 online.
We refunded %1 offline.,Vi återbetalas %1 offline.
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Återbetalas"". Återbetalning utfärdats av handlaren. Registrerade anmälan om återbetalas mängden %1. Transaktion ID: ""%2"""
The credit memo has been created automatically.,Kreditnotans har skapats automatiskt.
Registered notification about refunded amount of %1.,Registrerade anmälan om återbetalas mängden %1.
Canceled order online,Annullerade beställningen online
Canceled order offline,Annullerade beställningen offline
Approved the payment online.,Godkänd betalning online.
There is no need to approve this payment.,Det finns ingen anledning att godkänna betalningen.
Registered notification about approved payment.,Registrerade anmälan om godkänd betalning.
Denied the payment online,Nekad betalningen online
There is no need to deny this payment.,Det finns ingen anledning att förneka denna betalning.
Registered notification about denied payment.,Registrerade anmälan om nekad betalning.
Registered update about approved payment.,Registrerade uppdatering om godkänd betalning.
Registered update about denied payment.,Registrerade uppdatering om nekad betalning.
There is no update for the payment.,Det finns ingen uppdatering för betalningen.
The order amount of %1 is pending approval on the payment gateway.,Beställningen mängden %1 väntar godkännande på betalning gateway.
We will authorize %1 after the payment is approved at the payment gateway.,Vi kommer att godkänna %1 efter betalningen har godkänts vid betalning gateway.
Authorized amount of %1,Godkända beloppet av %1
Voided authorization.,Annullerade tillstånd.
Amount: %1.,Belopp: %1.
"Transaction ID: ""%1""","Transaktion ID: ""%1"""
The parent transaction ID must have a transaction ID.,Huvudtransaktions-ID måste ha ett transaktions-ID.
"The transaction ""%1"" (%2) is already closed.","Transaktionen ""%1"" (%2) är redan stängd."
Set order for existing transactions not allowed,Ställ för att befintliga transaktioner inte tillåtet
"At minimum, you need to set a payment ID.","Åtminstone måste du ställa in en betalnings ID."
"We found an unsupported transaction type ""%1"".","Vi hittade en typ transaktion som inte stöds ""%1""."
Please set a proper payment object.,Ställ in en korrekt betalningsföremål.
The Transaction ID field cannot be empty.,Transaktionen ID-fältet kan inte vara tomt.
You can't do this without a transaction object.,Du kan inte göra detta utan en transaktionsobjekt.
Sold to:,Såld till:
Ship to:,Frakta till:
Shipping Method:,Leverans Metod:
Total Shipping Charges,Totalt Fraktkostnader
We found an invalid renderer model.,Vi hittade en ogiltig renderer modell.
Please define the PDF object before using.,Vänligen ange PDF-objekt innan du använder.
"We don't recognize the draw line data. Please define the ""lines"" array.","Vi känner inte igen data draw linjer. Vänligen definiera ""lines"" array."
Total (ex),Totalt (ex)
Total (inc),Totalt (ink)
Credit Memo # ,Kreditnota # 
Invoice # ,Faktura # 
The order object is not specified.,Beställnings objekt är inte specificerat.
The source object is not specified.,Källobjektet är inte specificerat.
An item object is not specified.,En produkt objekt är inte specificerat.
A PDF object is not specified.,PDF-objekt är inte specificerat.
A PDF page object is not specified., PDF-sida objekt är inte specificerad
Packing Slip # ,Följesedel # 
We cannot register an existing shipment,Vi kan inte registrera en befintlig försändelse
We cannot create an empty shipment.,Vi kan inte skapa en tom leverans.
"We found an invalid qty to ship for item ""%1"".","Vi hittade en ogiltig st leverans för produkt ""%1""."
The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.,Den totala modellen bör förlängas från \Magento\Sales\Model\Order\Total\AbstractTotal.
We cannot determine the field name.,Vi kan inte bestämma fältnamn.
Please specify a valid grid column alias name that exists in the grid table.,Vänligen ange en giltig rutnät kolumn aliasnamn som finns i nätet tabellen.
We don't have enough information to save the parent transaction ID.,Vi har inte tillräckligt med information för att spara den överordnade transaktions-ID.
The last status can't be unassigned from its current state.,Den sista status kan inte att ta bort från sitt nuvarande tillstånd.
Pending Payment,I väntan på betalning
On Hold,På Vänteläge
Complete,Färdig
Suspected Fraud,Misstanke om Bedrägeri
Payment Review,Betalning Recension
"Changing address information will not recalculate shipping, tax or other order amount.","Ändra adressuppgifter kommer inte att beräkna frakt, moms eller annan ordervärde."
Order Comments,Beställnings Kommentarer
Order Currency:,Beställnings Valuta:
Select from existing customer addresses:,Välj bland befintliga kundadresser:
Same As Billing Address,Samma som faktureringsadress
You don't need to select a shipping address.,Du behöver inte välja en leveransadress.
Gift Message for the Entire Order,Present meddelande för hela ordern
Move to Shopping Cart,Flytta till Kundvagnen
Subscribe to Newsletter,Prenumerera på Nyhetsbrev
Click to change shipping method,Klicka för att ändra leveransmetod
"Sorry, no quotes are available for this order.","Tyvärr inga kvot är tillgängliga för denna ordning."
Get shipping methods and rates,Få leveransmetoder och priser
You don't need to select a shipping method.,Du behöver inte välja en leveransmetod.
Customer's Activities,Kundens Aktiviteter
Append Comments,Bifoga Kommentarer
Email Order Confirmation,E-post orderbekräftelse
Grand Total Excl. Tax,Totalt Exkl. Tax
Grand Total Incl. Tax,Att Betala Inkl. Tax
Subtotal (Excl. Tax),Delsumma (Exkl. Tax)
Subtotal (Incl. Tax),Delsumma (Inkl. Tax)
The order was placed using %1.,Beställningen gjordes med hjälp av %1.
Items to Refund,Objekt till återbetalning
Return to Stock,RÅtergå till Lagerstatus
Qty to Refund,Antal till återbetalning
Row Total,Rad Total
No Items To Refund,Inga produkt att återbetala
Credit Memo Comments,Kreditnota Kommentarer
Refund Totals,Återbetallnings Belopp
Email Copy of Credit Memo,E-post Kopia av kreditnota
Please enter a positive number in this field.,Ange ett positivt tal inom detta område.
Items Refunded,Produkt Återbetalas
No Items,Inga Produkt
Credit Memo History,Kreditnota Historia
Credit Memo Totals,Kreditnota Totals
Create Shipment,Skapa Sändning
Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.,Faktura och frakttyper stämmer inte för några objekt på denna ordning. Du kan skapa en sändning endast efter att ha skapat fakturan.
Qty to Invoice,Antal att Faktura
Invoice History,Faktura Historia
Invoice Comments,Faktura Kommentarer
Invoice Totals,Faktura Total
Capture Amount,Capture Belopp
Capture Online,Capture Online
Capture Offline,Capture Offline
Not Capture,Inga Capture
The invoice will be created offline without the payment gateway.,Fakturan kommer att skapas offline utan betalning gateway.
Email Copy of Invoice,E-post Kopia av faktura
Items Invoiced,Produkter som Fakturerad
Total Tax,Total Moms
From Name,Från Namn
To Name,Till Name
Add Order Comments,Lägga Beställnings Kommentarer
Notification Not Applicable,Anmälan Ej Tillämplig
the order confirmation email was sent,orderbekräftelsen skickades
the order confirmation email is not sent,orderbekräftelsen e-post skickas inte
Order Date (%1),Beställnings Datum (%1)
Purchased From,Köpt Från
Link to the New Order,Länk till Ny Beställning
Link to the Previous Order,Länk till den Tidigare Beställning
Placed from IP,Placerad från IP
%1 / %2 rate:,%1 / %2 värde:
Item Status,Objektstatus
Original Price,Original Pris
Tax Percent,Moms Procent
Transaction Data,Transaktions Data
Parent Transaction ID,Major Transaktion ID
Transaction Type,Transaktion Typ
Is Closed,Är Stängt
Child Transactions,Minor Transaktioner
Transaction Details,Transaktions Detaljer
Gift Message for this Order,Present Meddelande till denna Beställning
Shipped By,Levereras Av
Tracking Number,Spårningsnummer
Billing Last Name,Fakturering Efternamn
Find Order By:,Hitta Order Av:
ZIP Code,Postnummer
Billing ZIP Code,Fakturering Postnummer
Print All Refunds,Skriv Alla Återbetalningar
Refund #,Återbetalning #
Print Refund,Skriv Återbetalning
You have placed no orders.,Du har lagt inga beställning.
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Beställning Datum:</span> %1"
No shipping information available,Ingen leveransinformation tillgänglig
Print Order,Skriv Beställning
Subscribe to Order Status,Prenumerera på Beställningsstatus
Print All Invoices,Skriv ut alla Fakturor
Invoice #,Faktura #
Print Invoice,Skriv ut Faktura
Qty Invoiced,Antal Fakturerad
Refund #%1,Återbetalning #%1
Invoice #%1,Faktura #%1
Shipment #%1,Leverans #%1
Items Shipped,Produkter Levereras
Qty Shipped,Antal Levereras
View All,Visa Alla
Gift Message for This Order,Presentmeddelande för den här beställningen
About Your Order,Om Din Beställning
Shipment Comments,Leverans Kommentarer
Gift Options for ,Present Alternativ för 
Ok,OK
Anchor Custom Title,Ankare Anpassad Titel
Phone,Telefon
Default Template,Standardmall
Minimum Order Amount,Minimum Beställnings Belopp
Comma-separated,Komma-Separerade
Hide Customer IP,Dölja Kund IP
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Välj om en kund IP visas i beställning, fakturor, transporter och kreditnotor."
Checkout Totals Sort Order,Kassa Totals Sorterings Beställning
Allow Reorder,Tillåt Ombeställning
Invoice and Packing Slip Design,Faktura och Följesedel Design
Logo for PDF Print-outs (200x50),Logo för PDF Utskrifter (200x50)
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Standardlogotyp kommer att användas i PDF- och HTML-dokument.<br />(jpeg, tiff, png) Om pdf bilden är förvrängd, försök att använda större filstorlek bild.
                    "
Logo for HTML Print View,Logo för HTML Utskrifter
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo endast HTML-dokument. Om den är tom, kommer standard användas.<br />(jpeg, gif, png)
                    "
Minimum Amount,Minimumbelopp
Subtotal after discount,Delsumma efter rabatt
Description Message,Beskrivning Meddelande
This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.,Detta meddelande kommer att visas i varukorgen när delsumman (efter rabatt) är lägre än det minsta tillåtna beloppet.
Error to Show in Shopping Cart,Fel att Visa i Kundvagnen
Validate Each Address Separately in Multi-address Checkout,Validera varje adress separat i fleradress kassan
Multi-address Description Message,Multi-adress Beskrivning Meddelande
We'll use the default description above if you leave this empty.,Vi kommer att använda standardovanstående beskrivning om du lämnar det här tomt.
Multi-address Error to Show in Shopping Cart,Multi-adress Fel att Visa i Kundvagnen
We'll use the default error above if you leave this empty.,Vi kommer att använda standardfelet ovan om du lämnar tomt.
Use Aggregated Data,Använd Samlade Uppgifter
Sales Emails,Försäljning E-Post
New Order Confirmation Email Sender,Ny Orderbekräftelse -Avsändare
New Order Confirmation Template,Ny Orderbekräftelse Mall
New Order Confirmation Template for Guest,Ny Orderbekräftelse Mall för Guest
Send Order Email Copy To,Skicka Beställning E-Post Kopia till
